id,name,stageId,stageName,severity,entryStatus,plainTerms,description,sectors,indicators,rootCauses,mitigations,related,reference,tiers
AGF-F090,Evidence gap at audit,AGF-TA10,"Audit, Evidence & Record Integrity",Critical,full,"Every control worked exactly as designed. The auditor asked for proof. The proof was in someone's email, someone else's chat, and a folder nobody could find.","A control operated correctly but was not documented in a producible form, so compliance cannot be demonstrated at examination or inspection. The organization did the right thing and still receives the finding.","Banking, biopharma, insurance — anywhere external examination occurs","Evidence assembled reactively in the weeks preceding an examination | Controls described in policy with no corresponding artifact | Evidence scattered across email, chat, and personal drives | Prior findings citing documentation rather than control design","Evidence capture is manual and therefore skipped under operational load | No single system of record, so evidence has no natural home | Controls designed for operation rather than for demonstrability","Capture evidence in a system of record at the moment the control operates | Link every control explicitly to its evidence artifact | Collect continuously rather than reactively | Design controls to be demonstrable, not merely effective",AGF-F091 | AGF-F093 | AGF-F103,"A common category of finding in model and AI governance examinations, where the deficiency is evidentiary rather than operational.",Tiers 4–5
AGF-F091,No single system of record,AGF-TA10,"Audit, Evidence & Record Integrity",High,open,"AI governance records live in a spreadsheet, a ticketing system, three inboxes and a shared drive. There is no single place that is authoritative, so every question has several answers.",,,,,,,,
AGF-F092,No regulatory mapping maintained,AGF-TA10,"Audit, Evidence & Record Integrity",High,open,"The company has controls. Nobody has mapped which control satisfies which regulatory requirement, so every audit starts from zero and takes six weeks.",,,,,,,,
AGF-F093,Reactive evidence assembly,AGF-TA10,"Audit, Evidence & Record Integrity",Moderate,open,"Six weeks before the examination, four people stop their day jobs to reconstruct evidence for the previous two years.",,,,,,,,
AGF-F094,No periodic re-attestation,AGF-TA10,"Audit, Evidence & Record Integrity",High,open,"Systems were approved once. There is no point at which anyone is asked to confirm they're still appropriate, still used as described, or still needed.",,,,,,,,
AGF-F095,No portfolio-level visibility,AGF-TA10,"Audit, Evidence & Record Integrity",High,full,The board asks how many AI systems the company runs. The honest answer is that nobody knows.,"Governance operates case by case with no aggregated view. Leadership cannot state how many AI systems exist, what their combined risk profile is, or where concentrations sit — so risk is managed locally and never in aggregate.",Cross-sector; consequence rises with portfolio size,No current count of AI systems in production | Risk reported per use case and never at portfolio level | No catalog of deployed solutions | Board reporting assembled manually each cycle,Governance built for individual approvals rather than portfolio management | Records held across disconnected systems | No aggregate risk methodology defined,"Maintain a solutions catalog as the authoritative portfolio view | Provide standing executive reporting rather than assembled reporting | Define and apply a portfolio-level risk aggregation method | Track concentration by vendor, model family, and business function",AGF-F025 | AGF-F091 | AGF-F106,Surfaces as an inability to answer supervisory or board questions rather than as an operational incident.,Tier 5
AGF-F096,Historical attribution lost through organizational change,AGF-TA10,"Audit, Evidence & Record Integrity",High,full,"A reorganization moved people between teams. Historical records now show the new structure, so reports about last year's reviews no longer match what actually happened — and the reviewers who did the work have vanished from their own reviews.","Governance records reflect the current organizational structure rather than the structure in place when the work was performed. Reorganizations, departures, and role changes silently rewrite the historical record, so past reviews can no longer be attributed to the people and functions that actually conducted them.",Cross-sector; severity rises with organizational change frequency and portfolio age,Historical reports changing values after a reorganization with no underlying record activity | Completed reviews showing reviewers who did not perform them | Departed reviewers disappearing from records they authored | Inability to reproduce a report generated before an organizational change | Reviewer fields that cannot be retired without altering historical records,"People and organizational units modelled as live references rather than as values captured at the time | No snapshot taken when an assessment is completed | Removing a person from selection also removes them from history | Record design optimized for current-state operation, not for historical integrity",Snapshot completed assessments so historical values are fixed at completion | Distinguish archiving from deletion — retire people from future selection while preserving past attribution | Maintain an active/inactive status distinct from presence in the record | Retain organizational attribution as recorded at the time of the work | Test reproducibility of historical reports as part of any organizational change,AGF-F090 | AGF-F042 | AGF-F097 | AGF-F098,Rarely recognized until an examination requires reproducing a report from before a reorganization.,Tiers 4–5
AGF-F097,Governance data model too rigid to record reality,AGF-TA10,"Audit, Evidence & Record Integrity",Moderate,open,"The system allows two findings per review. Real reviews routinely produce five. The other three are recorded in a spreadsheet, or not at all — so the official record understates what was actually found.",,,,,,,,
AGF-F098,Manual bulk remediation of governance records,AGF-TA10,"Audit, Evidence & Record Integrity",High,open,"Correcting several hundred governance records has to be done by hand, one at a time, because nothing can safely update them in bulk. Everyone involved knows some of them will end up wrong.",,,,,,,,
AGF-F100,Findings tracked outside the system of record,AGF-TA11,Findings & Remediation,Critical,full,The review produced eleven action items. They live in a spreadsheet on a shared drive. Whether any of them have been done is anyone's guess.,"Review findings are recorded outside the governance system — typically in spreadsheets, documents, or email threads — so they are disconnected from the use case they concern, invisible in reporting, and dependent on an individual to chase. The review process functions; the remediation process does not exist as a process at all.",Cross-sector; the most common gap between programmes that appear mature and programmes that are,Action items maintained in spreadsheets or documents rather than in the governance record | No way to report open findings without manual compilation | Status updates obtained by individually contacting owners | Findings with no traceable link to the use case that generated them | Items whose current status nobody can state without asking someone,"Governance tooling implemented for intake and review, with remediation never scoped | Findings treated as an output of review rather than as a tracked object | No owner of the remediation process distinct from the review process | Spreadsheet adopted as a stopgap and never replaced",Record findings as first-class objects within the governance system of record | Link every finding to its originating review and use case | Generate portfolio-level open-findings reporting as standing output | Automate status requests rather than relying on individual follow-up | Treat the remediation loop as in scope when implementing governance tooling,AGF-F101 | AGF-F102 | AGF-F103 | AGF-F106 | AGF-F090,Presents at audit as an inability to demonstrate that identified issues were resolved.,Tiers 3–5
AGF-F101,Findings without owner or due date,AGF-TA11,Findings & Remediation,High,open,"The finding says 'improve monitoring.' It doesn't say who, or by when, so it belongs to everyone and therefore to no one.",,,,,,,,
AGF-F102,No escalation on ageing findings,AGF-TA11,Findings & Remediation,High,open,"An action item has been open for seven months. Nothing happens when it ages. Nobody is notified, and it appears on no report.",,,,,,,,
AGF-F103,Findings closed without evidence,AGF-TA11,Findings & Remediation,Critical,open,"The owner marked the item complete. There's no attachment, no link, and no description of what they actually did — just a status that changed.",,,,,,,,
AGF-F104,No blocked or on-hold status,AGF-TA11,Findings & Remediation,Moderate,open,"The item is stuck waiting on somebody else, but the only available statuses are open and closed. So it looks like the owner is sitting on it, and the metrics blame the wrong person.",,,,,,,,
AGF-F105,Findings not linked to the use case record,AGF-TA11,Findings & Remediation,High,open,"The finding exists. The use case it came from exists. Nothing connects them, so anyone reviewing that use case later sees a clean record.",,,,,,,,
AGF-F106,No aggregate view of open findings,AGF-TA11,Findings & Remediation,High,open,"Nobody can answer how many open findings exist across the AI portfolio, how old they are, or which are overdue — so remediation is never discussed at the level where it could be resourced.",,,,,,,,
